RequestNumber,Index Name,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
His63857230834798081600,,Nifty 50,12 Jul 2024,24387.95,24592.2,24331.15,24502.15
His63857230834798081600,,Nifty 50,11 Jul 2024,24396.55,24402.65,24193.75,24315.95
His63857230834798081600,,Nifty 50,10 Jul 2024,24459.85,24461.05,24141.8,24324.45
His63857230834798081600,,Nifty 50,09 Jul 2024,24351,24443.6,24331.9,24433.20
His63857230834798081600,,Nifty 50,08 Jul 2024,24329.45,24344.6,24240.55,24320.55
His63857230834798081600,,Nifty 50,05 Jul 2024,24213.35,24363,24168.85,24323.85
His63857230834798081600,,Nifty 50,04 Jul 2024,24369.95,24401,24281,24302.15
His63857230834798081600,,Nifty 50,03 Jul 2024,24291.75,24309.15,24207.1,24286.50
His63857230834798081600,,Nifty 50,02 Jul 2024,24228.75,24236.35,24056.4,24123.85
His63857230834798081600,,Nifty 50,01 Jul 2024,23992.95,24164,23992.7,24141.95
His63857230834798081600,,Nifty 50,28 Jun 2024,24085.9,24174,23985.8,24010.60
His63857230834798081600,,Nifty 50,27 Jun 2024,23881.55,24087.45,23805.4,24044.50
His63857230834798081600,,Nifty 50,26 Jun 2024,23723.1,23889.9,23670.45,23868.80
His63857230834798081600,,Nifty 50,25 Jun 2024,23577.1,23754.15,23562.05,23721.30
His63857230834798081600,,Nifty 50,24 Jun 2024,23382.3,23558.1,23350,23537.85
His63857230834798081600,,Nifty 50,21 Jun 2024,23661.15,23667.1,23398.2,23501.10
His63857230834798081600,,Nifty 50,20 Jun 2024,23586.15,23624,23442.6,23567.00
His63857230834798081600,,Nifty 50,19 Jun 2024,23629.85,23664,23412.9,23516.00
His63857230834798081600,,Nifty 50,18 Jun 2024,23570.8,23579.05,23499.7,23557.90
His63857230834798081600,,Nifty 50,14 Jun 2024,23464.95,23490.4,23334.25,23465.60
His63857230834798081600,,Nifty 50,13 Jun 2024,23480.95,23481.05,23353.9,23398.90
His63857230834798081600,,Nifty 50,12 Jun 2024,23344.45,23441.95,23295.95,23322.95
His63857230834798081600,,Nifty 50,11 Jun 2024,23283.75,23389.45,23206.65,23264.85
His63857230834798081600,,Nifty 50,10 Jun 2024,23319.15,23411.9,23227.15,23259.20
His63857230834798081600,,Nifty 50,07 Jun 2024,22821.85,23320.2,22789.05,23290.15
His63857230834798081600,,Nifty 50,06 Jun 2024,22798.6,22910.15,22642.6,22821.40
His63857230834798081600,,Nifty 50,05 Jun 2024,22128.35,22670.4,21791.95,22620.35
His63857230834798081600,,Nifty 50,04 Jun 2024,23179.5,23179.5,21281.45,21884.50
His63857230834798081600,,Nifty 50,03 Jun 2024,23337.9,23338.7,23062.3,23263.90
His63857230834798081600,,Nifty 50,31 May 2024,22568.1,22653.75,22465.1,22530.70
His63857230834798081600,,Nifty 50,30 May 2024,22617.45,22705.75,22417,22488.65
His63857230834798081600,,Nifty 50,29 May 2024,22762.75,22825.5,22685.45,22704.70
His63857230834798081600,,Nifty 50,28 May 2024,22977.15,22998.55,22858.5,22888.15
His63857230834798081600,,Nifty 50,27 May 2024,23038.95,23110.8,22871.2,22932.45
His63857230834798081600,,Nifty 50,24 May 2024,22930.75,23026.4,22908,22957.10
His63857230834798081600,,Nifty 50,23 May 2024,22614.1,22993.6,22577.45,22967.65
His63857230834798081600,,Nifty 50,22 May 2024,22576.6,22629.5,22483.15,22597.80
His63857230834798081600,,Nifty 50,21 May 2024,22404.55,22591.1,22404.55,22529.05
His63857230834798081600,,Nifty 50,18 May 2024,22512.85,22520.25,22470.05,22502.00
His63857230834798081600,,Nifty 50,17 May 2024,22415.25,22502.15,22345.65,22466.10
His63857230834798081600,,Nifty 50,16 May 2024,22319.2,22432.25,22054.55,22403.85
His63857230834798081600,,Nifty 50,15 May 2024,22255.6,22297.55,22151.75,22200.55
His63857230834798081600,,Nifty 50,14 May 2024,22112.9,22270.05,22081.25,22217.85
His63857230834798081600,,Nifty 50,13 May 2024,22027.95,22131.65,21821.05,22104.05
